Component ,search name,quantity needed,link to buy,price,total ,must read notes,must read notes 2.0
Microcontroller (MCU),nice nano v2 nRF52840,1,https://www.aliexpress.com/item/1005006271881076.html,$5,,not a orignal one,"Cheaper, slightly less reliable"
74AHCT125 Level Shifter,74AHCT125 TSSOP-14 ,1,https://www.aliexpress.com/item/1005008171122183.html,$2.52,,"u have to buy minimum pack of ten, the price mentioned is for 10",For LED data 3.3V→5V
MCP73831 LiPo Charger,MCP73831T-2ACI SOT-23-5 ,1,https://www.aliexpress.com/item/1005007439657191.html,$2.5,,Pack of 10 price,LiPo charging IC
ME6211 3.3V LDO ,ME6211C33 SOT-23-5,1,https://www.aliexpress.com/item/1005007315116858.html,$2.2,,Pack of 10 price,3.3V regulator
USBLC6-2SC6 ESD Protection,USBLC6-2SC6 SOT-23-6,1,https://www.aliexpress.com/item/32807108222.html,$1.5,,Pack of 10 price,USB ESD protection
Gateron Blue Switch,Gateron G Pro Blue 5pin,84,https://www.aliexpress.com/item/1005006091988869.html,$24,,Pack of 100 price,5-pin PCB mount
Kailh Hotswap Socket,Kailh hot swap socket MX,84,https://www.aliexpress.com/item/1005006105603269.html,$7,,Pack of 100 price,"MX compatible"
EC11 Rotary Encoder,EC11 rotary encoder 20mm ,1,https://www.aliexpress.com/item/1005006460161288.html,$2,,pack of 5 price ,With push switch
Reset Button,SMD tactile switch 3x4mm ,1,https://www.aliexpress.com/item/4001107416458.html,$1.5,,pack of 30 price ,Reset button
SK6812 Mini-E RGB LED ,SK6812 MINI-E reverse mount,84,https://www.aliexpress.com/item/1005004249903121.html,$13.5,,pack of 100`,"Buy 100, need 84 + spares"
1N4148W Matrix Diode,1N4148W SOD-123 ,84,https://www.aliexpress.com/item/1005010728396328.html,$1.5,,Pack of 100 price,"Buy 100, need 84 + spares"
Resistor,10K vlaue resistors 0603 ,10,https://www.aliexpress.com/item/1005011779883974.html,$1.2,,pack of 300 price ,u have to buy in lot
Resistor,5.1K vlaue resistor 0603,5,https://www.aliexpress.com/item/1005011779883974.html,$1.3,,pack of 300 price ,u have to buy in lot
Resistor,330 ohm value 0603,1,https://www.aliexpress.com/item/1005005700395390.html,$2,,pack of 500 price,u have to buy in lot
Capacitor,100nF value 0805,100,https://www.aliexpress.com/item/1005007660078779.html,$2,,pack of 200 price ,u have to buy in lot
Capacitor,10uF value 0805,1,https://www.aliexpress.com/item/1005007660078779.html,$2.2,,pack of 200 price ,u have to buy in lot
USB-C Receptacle 16P ,USB C 16pin SMD connector GCT USB4105,1,https://www.aliexpress.com/item/1005005581945089.html,$4.5,,pack of 5 price ,u have to buy pack of 5
JST PH2 2-pin,JST PH2.0 2pin connector,1,https://www.aliexpress.com/item/1005010615395743.html,$2,,pack of 2 price ,
Polyfuse 500mA,Polyfuse resettable fuse 500mA 1206,1,https://www.aliexpress.com/item/1005005235906949.html,$1.7,,pack of 10 price,
LiPo 3.7V 2000mAh,LiPo battery 804050 2000mAh 3.7V JST PH,1,https://www.aliexpress.com/item/1005005984841109.html,$9.4,,price of 2,
Keycap Set,PBT keycap set 75% TKL MX compatible,75,https://www.aliexpress.com/item/1005007416863215.html,$22.5,,100+ keycaps,
Rotary Knob ,encoder knob aluminum 6mm D shaft 20mm,1,https://www.aliexpress.com/item/4001091267351.html,$2,,2 pieces ,
PCB Fabrication,"2-layer, HASL (with lead)",1,https://cart.jlcpcb.com/quote?spm=jlcpcb.Public.2006,$22.20,,at least 5 pieces ,
3D Print - Tray ,SLA resin ,1,https://jlc3dp.com/3d-printing-quote,$25.30,,u should go for local 3D printer,
3D Print - Top Plate,SLA resin ,1,https://jlc3dp.com/3d-printing-quote,$8.30,,u should go for local 3D printer,
3D Print - Top Cover,SLA resin ,1,https://jlc3dp.com/3d-printing-quote,$2.65,,u should go for local 3D printer,
M3 Screws,M3 x 8mm countersunk ,10,https://www.aliexpress.com/item/1005008810897680.html,$1,,pack of 50 ,
M3 Standoffs,M3 x 4mm,10,https://www.aliexpress.com/item/1005008810897680.html,$1,,pack of 50,
,,,,,$174.45,,"if u buy components and services from locals, the price can be reduced upto $120-$140"
